67,0.18,140,10,40,10
68,0.18,93.3,14,30,15
69,0.18,93.3,15,40,15
70,0.18,70,18,30,20
71,0.18,70,19,40,20
72,0.18,56,20,30,25
73,0.18,56,23,40,25
74,0.18,46.7,26,40,30
75,0.18,35,32,50,40
76,0.18,35,32,40,40
77,0.18,28,38,40,50
78,0.18,28,38,50,50
79,0.18,23.3,34,50,60
80,0.18,17.5,53,50,80
81,0.18,14,55,50,100
82,0.25,186.7,11,40,7.5
83,0.25,186.7,11,50,7.5
84,0.25,140,14,40,10
85,0.25,140,14,50,10
86,0.25,93.3,20,40,15
87,0.25,93.3,21,50,15
88,0.25,70,26,40,20
89,0.25,70,26,50,20
90,0.25,56,31,40,25
91,0.25,56,32,50,25
92,0.25,46.7,36,40,30
93,0.25,46.7,36,50,30
94,0.25,35,44,40,40
95,0.25,35,45,50,40
96,0.25,28,53,50,50
97,0.25,23.3,60,50,60
98,0.25,17.5,65,50,80
99,0.25,17.5,77,63,80
100,0.25,14,85,63,100
101,0.37,186.7,16,40,7.5
102,0.37,186.7,16,50,7.5
103,0.37,140,21,40,10
104,0.37,140,21,50,10
105,0.37,93.3,30,40,15
106,0.37,93.3,31,50,15
107,0.37,70,39,40,20
108,0.37,70,39,50,20
109,0.37,56,47,50,25
110,0.37,46.7,54,50,30
111,0.37,35,66,50,40
112,0.37,35,70,63,40
113,0.37,28,73,50,50
114,0.37,28,83,63,50
115,0.37,23.3,95,63,60
116,0.37,17.5,114,63,80
117,0.37,14,118,63,100
118,0.55,186.7,24.5,40,7.5
119,0.55,186.7,25,50,7.5
120,0.55,140,32,40,10
121,0.55,140,32,50,10
122,0.55,93.3,46,50,15
123,0.55,93.3,46,63,15
124,0.55,70,59,50,20
125,0.55,70,60,63,20
126,0.55,56,72,63,25
127,0.55,46.7,80,63,30
128,0.55,35,104,63,40
129,0.55,35,108,75,40
130,0.55,28,123,63,50
131,0.55,28,129,75,50
132,0.55,23.3,146,75,60
133,0.55,17.5,180,75,80
134,0.55,14,180,75,100
135,0.75,186.7,34,50,7.5
136,0.75,186.7,33,63,7.5
137,0.75,140,44,50,10
138,0.75,140,44,63,10
139,0.75,93.3,63,50,15
140,0.75,93.3,63,63,15
141,0.75,70,82,63,20
142,0.75,56,99,63,25
143,0.75,46.7,109,63,30
144,0.75,46.7,116,75,30
145,0.75,35,143,63,40
146,0.75,35,147,75,40
147,0.75,28,176,75,50
148,0.75,28,184,90,50
149,0.75,23.3,200,75,60
150,0.75,23.3,212,90,60
151,0.75,17.5,257,90,80
152,0.75,14,270,90,100
153,1.1,186.7,49,63,7.5
154,1.1,186.7,49,75,7.5
155,1.1,140,65,63,10
156,1.1,140,66,75,10
157,1.1,93.3,93,63,15
158,1.1,93.3,95,75,15
159,1.1,70,121,63,20
160,1.1,70,122,75,20
161,1.1,56,149,75,25
162,1.1,46.7,170,75,30
163,1.1,35,216,75,40
164,1.1,35,225,90,40
165,1.1,28,271,90,50
166,1.1,23.3,311,90,60
167,1.1,23.3,324,110,60
168,1.1,17.5,410,110,80
169,1.1,14,460,110,100
170,1.5,186.7,67,75,7.5
171,1.5,140,90,75,10
172,1.5,93.3,130,75,15
173,1.5,70,167,75,20
174,1.5,56,200,75,25
175,1.5,56,209,90,25
176,1.5,46.7,230,75,30
177,1.5,46.7,236,90,30
178,1.5,35,306,90,40
179,1.5,28,369,90,50
180,1.5,28,375,110,50
181,1.5,23.3,442,110,60
182,1.5,17.5,490,110,80
183,1.5,17.5,547,130,80
184,1.5,14,652,130,100
185,2.2,186.7,101,90,7.5
186,2.2,186.7,101,110,7.5
187,2.2,140,133,90,10
188,2.2,140,133,110,15
189,2.2,93.3,193,90,15
190,2.2,93.3,193,110,15
191,2.2,70,251,90,20
192,2.2,70,256,110,20
193,2.2,56,307,90,25
194,2.2,56,316,110,25
195,2.2,46.7,346,90,30
196,2.2,46.7,355,110,30
197,2.2,35,462,110,40
198,2.2,28,550,110,50
199,2.2,28,566,130,50
200,2.2,28,570,150,50
201,2.2,23.3,650,130,60
202,2.2,23.3,657,150,60
203,2.2,17.5,803,130,80
204,2.2,17.5,816,150,80
205,2.2,14,960,150,100
206,3,186.7,138,110,7.5
207,3,140,182,110,10
208,3,93.3,263,110,15
209,3,70,348,110,20
210,3,56,430,110,25
