310,2.2,25,764.2,3-614-59,59,1.27
311,2.2,25,764.2,3-615-59,59,1.28
312,3.7,25,1285.11,5-616-59,59,1.34
313,3.7,25,1285.11,5-617-59,59,1.97
314,5.5,25,1912.95,8-617-59,59,1.32
315,5.5,25,1912.95,8-618-59,59,1.79
316,7.5,25,2609.46,10-618-59,59,1.31
317,7.5,25,2609.46,10-619-59,59,2.07
318,11,25,3816.09,15-619-59,59,1.41
319,11,25,3816.09,15-620-59,59,1.74
320,15,25,5209.11,20-619-59,59,1.03
321,15,25,5209.11,20-620-59,59,1.27
322,18.5,25,6425.55,25-620-59,59,1.03
323,18.5,25,6425.55,25-621-59,59,1.5
324,22,25,7641.99,30-621-59,59,1.26
325,22,25,7641.99,30-622-59,59,1.52
326,30,25,10418.22,40-622-59,59,1.11
327,0.2,21,83.58,02-609-71,71,1.3
328,0.2,21,83.58,02-610-71,71,2.45
329,0.4,21,166.77,05-610-71,71,1.22
330,0.4,21,166.77,05-611-71,71,2.45
331,0.75,21,313.92,1-611-71,71,1.31
332,0.75,21,313.92,1-612-71,71,1.36
333,1.5,21,626.86,2-613-71,71,1.2
334,1.5,21,626.86,2-614-71,71,1.41
335,2.2,21,919.2,3-615-71,71,1
336,2.2,21,919.2,3-616-71,71,1.86
337,3.7,21,1549.98,5-616-71,71,1.1
338,3.7,21,1549.98,5-617-71,71,1.62
339,5.5,21,2295.54,8-617-71,71,1.09
340,5.5,21,2295.54,8-618-71,71,1.34
341,7.5,21,3139.2,10-618-71,71,1
342,7.5,21,3139.2,10-619-71,71,1.79
343,11,21,4600.89,15-619-71,71,1.22
344,0.2,17,102.02,02-609-87,87,1.25
345,0.2,17,102.02,02-610-87,87,2.45
346,0.4,17,205.03,05-610-87,87,1.22
347,0.4,17,205.03,05-611-87,87,2.33
348,0.75,17,384.55,1-611-87,87,1.24
349,0.75,17,384.55,1-613-87,87,1.95
350,1.5,17,768.12,2-614-87,87,1.3
351,1.5,17,768.12,2-615-87,87,1.31
352,2.2,17,1128.15,3-616-87,87,1.52
353,2.2,17,1128.15,3-617-87,87,2.2
354,3.7,17,1893.33,5-617-87,87,1.31
355,3.7,17,1893.33,5-618-87,87,2.03
356,5.5,17,2815.47,8-618-87,87,1.34
357,5.5,17,2815.47,8-619-87,87,2.13
358,7.5,17,3845.52,10-619-87,87,1.56
359,7.5,17,3845.52,10-620-87,87,1.83
360,11,17,5630.94,15-619-87,87,1.06
361,11,17,5630.94,15-620-87,87,1.24
362,15,17,7681.23,20-621-87,87,1.22
363,15,17,7681.23,20-622-87,87,1.46
364,18.5,17,9476.46,25-622-87,87,1.18
